Datum,Bewoelkung,Temperatur,Windgeschwindigkeit
2013-07-31,5.0,20.275,16
2013-08-01,6.0,23.4,7
2013-08-02,0.0,31.4375,7
2013-08-03,4.0,23.3625,11
2013-08-04,3.0,23.05,8
2013-08-05,0.0,25.8,10
2013-08-06,5.0,22.225,13
2013-08-07,4.0,19.2125,8
2013-08-08,7.0,16.975,12
2013-08-09,4.0,20.3375,10
2013-08-10,7.0,19.3625,12
2013-08-11,7.0,16.3875,9
2013-08-12,7.0,16.45,11
2013-08-13,3.0,16.4,16
2013-08-14,4.0,18.2625,18
2013-08-15,3.0,19.8,8
2013-08-16,4.0,23.575,11
2013-08-17,6.0,20.55,7
2013-08-18,7.0,18.5875,10
2013-08-19,5.0,18.4875,8
2013-08-20,7.0,17.775,8
2013-08-21,5.0,20.125,8
2013-08-22,4.0,21.6625,8
2013-08-23,1.0,22.0375,14
2013-08-24,0.0,20.85,16
2013-08-25,0.0,21.3875,16
2013-08-26,0.0,20.125,15
2013-08-27,1.0,21.0875,12
2013-08-28,0.0,21.3,7
2013-08-29,3.0,20.2125,11
2013-08-30,6.0,19.7875,8
2013-08-31,5.0,18.35,16
2013-09-01,7.0,15.8625,16
2013-09-02,7.0,16.575,17
2013-09-03,7.0,18.225,11
2013-09-04,7.0,18.125,5
2013-09-05,0.0,21.7,8
2013-09-06,0.0,24.7,9
2013-09-07,6.0,22.7625,7
2013-09-08,7.0,20.1625,8
2013-09-09,8.0,11.575,11
2013-09-10,6.0,13.5875,11
2013-09-11,6.0,13.9,8
2013-09-12,6.0,16.1125,6
2013-09-13,6.0,17.4375,5
2013-09-14,5.0,17.625,10
2013-09-15,7.0,14.8625,10
2013-09-16,3.0,13.1375,13
2013-09-17,5.0,13.1375,10
2013-09-18,4.0,13.05,9
2013-09-19,5.0,14.8375,11
2013-09-20,7.0,13.525,6
2013-09-21,7.0,15.35,9
2013-09-22,6.0,17.1375,14
2013-09-23,7.0,17.3125,14
2013-09-24,8.0,15.7375,10
2013-09-25,6.0,13.5375,7
2013-09-26,1.0,12.9875,12
2013-09-27,5.0,13.0125,8
2013-09-28,0.0,13.1,8
2013-09-29,3.0,14.175,12
2013-09-30,1.0,12.825,14
2013-10-01,0.0,12.9125,13
2013-10-02,1.0,12.7,10
2013-10-03,0.0,11.7625,12
2013-10-04,5.0,11.2,8
2013-10-05,7.0,15.575,8
2013-10-06,7.0,15.25,6
2013-10-07,1.0,16.275,7
2013-10-08,6.0,15.1125,8
2013-10-09,7.0,14.3125,10
2013-10-10,5.0,10.975,6
2013-10-11,7.0,13.8625,20
2013-10-12,8.0,13.025,21
2013-10-13,5.0,10.8625,5
2013-10-14,2.0,12.525,6
2013-10-15,7.0,10.6625,4
2013-10-16,8.0,12.275,7
2013-10-17,7.0,12.0,15
2013-10-18,1.0,9.075,9
2013-10-19,7.0,9.45,9
2013-10-20,7.0,15.1875,8
2013-10-21,7.0,14.2625,8
2013-10-22,2.0,17.6375,7
2013-10-23,6.0,17.675,9
2013-10-24,5.0,12.6875,12
2013-10-25,7.0,11.8875,7
2013-10-26,5.0,16.775,10
2013-10-27,6.0,14.9875,16
2013-10-28,7.0,14.3625,29
2013-10-29,7.0,10.775,17
2013-10-30,6.0,10.4375,10
2013-10-31,5.0,11.1625,13
2013-11-01,8.0,10.625,9
2013-11-02,8.0,8.8875,3
2013-11-03,6.0,10.7,15
2013-11-04,7.0,6.8375,7
2013-11-05,4.0,8.9,12
2013-11-06,4.0,8.1375,12
2013-11-07,6.0,9.5,10
2013-11-08,3.0,9.325,9
2013-11-09,5.0,7.7,16
2013-11-10,2.0,6.9875,12
2013-11-11,2.0,8.3125,5
2013-11-12,7.0,5.9375,9
2013-11-13,1.0,8.8,12
2013-11-14,5.0,6.9375,9
2013-11-15,7.0,6.45,6
2013-11-16,8.0,8.875,12
2013-11-17,2.0,8.8875,8
2013-11-18,7.0,6.65,5
2013-11-19,8.0,5.8375,8
2013-11-20,6.0,3.85,6
2013-11-21,2.0,3.275,8
2013-11-22,7.0,5.375,10
2013-11-23,3.0,4.9125,6
2013-11-24,0.0,4.6,16
2013-11-25,0.0,3.7,10
2013-11-26,2.0,2.3125,6
2013-11-27,8.0,7.3125,12
2013-11-28,2.0,8.025,18
2013-11-29,8.0,5.9875,11
2013-11-30,7.0,5.525,10
2013-12-01,5.0,8.6625,20
2013-12-02,0.0,3.0625,4
2013-12-03,8.0,1.7125,6
2013-12-04,7.0,5.85,11
2013-12-05,7.0,4.4625,24
2013-12-06,6.0,1.7875,25
2013-12-07,5.0,1.0,11
2013-12-08,8.0,6.975,16
2013-12-09,7.0,9.2375,10
2013-12-10,7.0,7.1875,8
2013-12-11,7.0,5.025,9
2013-12-12,8.0,2.525,8
2013-12-13,7.0,3.5375,6
2013-12-14,7.0,3.0125,7
2013-12-15,8.0,7.925,12
2013-12-16,8.0,8.775,12
2013-12-17,8.0,4.95,8
2013-12-18,7.0,6.85,8
2013-12-19,7.0,7.4,10
2013-12-20,7.0,5.2875,10
2013-12-21,8.0,6.5625,13
2013-12-22,7.0,8.1375,12
2013-12-23,3.0,5.4875,10
2013-12-24,7.0,11.4375,18
2013-12-25,6.0,8.5625,13
2013-12-26,6.0,3.775,6
2013-12-27,7.0,5.7625,15
2013-12-28,7.0,7.0625,9
2013-12-29,7.0,5.7125,9
2013-12-30,4.0,4.75,11
2013-12-31,4.0,5.0375,7
2014-01-01,5.0,4.5125,8
2014-01-02,7.0,6.25,9
2014-01-03,7.0,6.8375,10
2014-01-04,5.0,6.9375,11
2014-01-05,7.0,6.1875,11
2014-01-06,7.0,7.9125,11
2014-01-07,7.0,10.4375,13
2014-01-08,7.0,8.6375,15
2014-01-09,7.0,9.6125,16
2014-01-10,7.0,6.6375,17
2014-01-11,7.0,5.5875,18
2014-01-12,2.0,5.525,16
2014-01-13,8.0,3.1375,10
2014-01-14,6.0,4.225,6
2014-01-15,7.0,3.228571,7
2014-01-16,8.0,2.7375,9
2014-01-17,7.0,6.7375,4
2014-01-18,7.0,5.8875,8
2014-01-19,7.0,2.8625,19
2014-01-20,8.0,0.3875,13
2014-01-21,7.0,-0.65,7
2014-01-22,8.0,-3.1125,14
2014-01-23,8.0,-3.1875,11
2014-01-24,2.0,-5.1625,13
2014-01-25,5.0,-7.0375,8
2014-01-26,1.0,-8.475,10
2014-01-27,5.0,0.7,9
2014-01-28,7.0,-0.2625,10
2014-01-29,7.0,-5.05,13
2014-01-30,7.0,-4.4875,8
2014-01-31,8.0,-3.6875,7
2014-02-01,7.0,3.225,10
2014-02-02,0.0,5.4875,8
2014-02-03,1.0,3.475,8
2014-02-04,5.0,3.925,6
2014-02-05,4.0,3.675,8
2014-02-06,7.0,7.875,11
2014-02-07,7.0,8.475,15
2014-02-08,7.0,6.2875,12
2014-02-09,5.0,6.7125,15
2014-02-10,2.0,6.6375,9
2014-02-11,7.0,4.925,12
2014-02-12,4.0,6.1,13
2014-02-13,5.0,7.45,13
2014-02-14,5.0,5.2125,9
2014-02-15,5.0,11.5,15
2014-02-16,7.0,6.0625,17
2014-02-17,0.0,6.6875,9
2014-02-18,7.0,7.8,8
2014-02-19,7.0,6.325,8
2014-02-20,6.0,9.1,11
2014-02-21,7.0,7.5125,11
2014-02-22,7.0,5.925,11
2014-02-23,1.0,8.625,12
2014-02-24,1.0,9.4125,11
2014-02-25,1.0,10.475,7
2014-02-26,5.0,10.1875,8
2014-02-27,1.0,8.8875,7
2014-02-28,7.0,6.1875,6
2014-03-01,2.0,5.075,9
2014-03-02,6.0,6.5625,9
2014-03-03,0.0,9.1875,10
2014-03-04,7.0,6.6875,7
2014-03-05,7.0,4.6875,7
2014-03-06,3.0,8.925,9
2014-03-07,6.0,11.275,10
2014-03-08,0.0,9.9375,6
2014-03-09,0.0,16.4,9
2014-03-10,0.0,15.8,9
2014-03-11,0.0,7.85,9
2014-03-12,0.0,10.2125,8
2014-03-13,0.0,13.375,10
2014-03-14,1.0,9.6125,10
2014-03-15,4.0,9.0375,27
2014-03-16,7.0,9.3375,24
2014-03-17,7.0,9.5875,18
2014-03-18,7.0,9.6875,16
2014-03-19,7.0,9.45,18
2014-03-20,0.0,16.2625,13
2014-03-21,7.0,6.8875,14
2014-03-22,5.0,8.85,11
2014-03-23,4.0,8.3625,10
2014-03-24,3.0,7.5625,7
2014-03-25,2.0,7.725,10
2014-03-26,5.0,7.85,11
2014-03-27,6.0,5.1,12
2014-03-28,8.0,5.4,12
2014-03-29,3.0,9.375,8
2014-03-30,0.0,11.2625,8
2014-03-31,7.0,7.4375,4
2014-04-01,8.0,5.7625,13
2014-04-02,2.0,12.45,8
2014-04-03,3.0,7.6125,15
2014-04-04,6.0,6.45,15
2014-04-05,8.0,9.825,5
2014-04-06,7.0,12.1875,8
2014-04-07,7.0,15.7875,10
2014-04-08,7.0,9.8125,19
2014-04-09,7.0,10.1875,20
2014-04-10,7.0,9.75,4
2014-04-11,6.0,12.0625,10
2014-04-12,4.0,11.2,12
2014-04-13,6.0,11.0125,21
2014-04-14,5.0,8.9,23
2014-04-15,0.0,9.9125,15
2014-04-16,0.0,11.3625,9
2014-04-17,5.0,14.4,14
2014-04-18,7.0,8.2375,11
2014-04-19,1.0,11.125,13
2014-04-20,0.0,13.875,15
2014-04-21,4.0,13.425,15
2014-04-22,3.0,15.45,10
2014-04-23,8.0,9.825,11
2014-04-24,8.0,9.175,11
2014-04-25,0.0,13.5625,12
2014-04-26,0.0,15.45,11
2014-04-27,0.0,16.225,16
2014-04-28,0.0,15.8875,11
2014-04-29,0.0,18.0875,8
2014-04-30,3.0,18.0,8
2014-05-01,4.0,10.4875,14
2014-05-02,6.0,10.225,13
2014-05-03,3.0,11.8625,13
2014-05-04,7.0,9.6,11
2014-05-05,8.0,10.7125,6
2014-05-06,7.0,15.775,9
2014-05-07,4.0,14.2125,15
2014-05-08,7.0,12.45,10
2014-05-09,6.0,12.3875,10
2014-05-10,7.0,13.275,12
2014-05-11,7.0,11.5625,12
2014-05-12,7.0,12.7,14
2014-05-13,7.0,11.5625,15
2014-05-14,7.0,11.5625,16
2014-05-15,2.0,13.7875,8
2014-05-16,5.0,13.8875,9
2014-05-17,0.0,16.625,8
2014-05-18,4.0,16.5125,13
2014-05-19,6.0,13.7625,8
2014-05-20,0.0,20.725,12
2014-05-21,2.0,26.8625,8
2014-05-22,0.0,26.375,8
2014-05-23,7.0,18.0125,12
2014-05-24,2.0,17.9625,8
2014-05-25,2.0,20.4625,11
2014-05-26,0.0,19.9625,13
2014-05-27,7.0,12.8875,21
2014-05-28,7.0,10.2,22
2014-05-29,4.0,12.7,14
2014-05-30,0.0,17.9625,13
2014-05-31,3.0,15.9125,15
2014-06-01,7.0,13.825,6
2014-06-02,0.0,17.625,9
2014-06-03,1.0,20.0,9
2014-06-04,1.0,21.4875,14
2014-06-05,5.0,15.0375,18
2014-06-06,3.0,19.3125,12
2014-06-07,0.0,17.9625,8
2014-06-08,6.0,22.1,12
2014-06-09,0.0,20.6625,10
2014-06-10,1.0,25.7875,9
2014-06-11,7.0,20.5,8
2014-06-12,4.0,19.55,12
2014-06-13,7.0,17.45,18
2014-06-14,1.0,18.9125,13
2014-06-15,0.0,19.275,8
2014-06-16,6.0,18.3125,10
2014-06-17,1.0,20.375,7
2014-06-18,3.0,19.3,13
2014-06-19,7.0,15.2875,19
2014-06-20,7.0,15.9875,16
2014-06-21,6.0,15.5125,18
2014-06-22,5.0,15.7,19
2014-06-23,4.0,16.5,17
2014-06-24,7.0,14.3625,7
2014-06-25,0.0,18.4375,10
2014-06-26,6.0,17.575,8
2014-06-27,4.0,20.1625,7
2014-06-28,6.0,16.9625,6
2014-06-29,7.0,17.3125,8
2014-06-30,3.0,18.3375,12
2014-07-01,6.0,15.6875,14
2014-07-02,6.0,17.1125,15
2014-07-03,7.0,20.4,9
2014-07-04,0.0,26.9375,10
2014-07-05,6.0,24.5875,10
2014-07-06,5.0,25.2375,6
2014-07-07,5.0,20.8,10
2014-07-08,7.0,19.6,15
2014-07-09,0.0,24.65,24
2014-07-10,0.0,24.757142,18
2014-07-11,1.0,22.9375,18
2014-07-12,0.0,20.375,12
2014-07-13,7.0,18.6,10
2014-07-14,7.0,19.45,15
2014-07-15,6.0,22.2625,9
2014-07-16,6.0,19.4125,7
2014-07-17,4.0,22.7625,7
2014-07-18,1.0,26.05,10
2014-07-19,0.0,28.0625,13
2014-07-20,3.0,24.3125,15
2014-07-21,0.0,23.4875,19
2014-07-22,0.0,24.9875,14
2014-07-23,0.0,25.0,14
2014-07-24,0.0,24.8375,11
2014-07-25,0.0,26.325,18
2014-07-26,6.0,22.375,10
2014-07-27,3.0,25.55,12
2014-07-28,0.0,24.7625,7
2014-07-29,0.0,25.35,10
2014-07-30,6.0,22.925,12
2014-07-31,3.0,22.4375,12
2014-08-01,1.0,26.725,8
2014-08-02,2.0,26.0875,12
2014-08-03,5.0,23.0875,9
2014-08-04,6.0,22.5125,8
2014-08-05,5.0,23.0875,10
2014-08-06,0.0,22.825,10
2014-08-07,7.0,20.3125,6
2014-08-08,3.0,22.725,8
2014-08-09,6.0,20.1,17
2014-08-10,6.0,23.1,12
2014-08-11,4.0,20.075,13
2014-08-12,5.0,16.9125,12
2014-08-13,2.0,20.9375,10
2014-08-14,7.0,18.05,10
2014-08-15,6.0,18.3625,8
2014-08-16,6.0,17.2,15
2014-08-17,7.0,15.65,13
2014-08-18,6.0,15.2,15
2014-08-19,6.0,14.0875,12
2014-08-20,5.0,15.675,17
2014-08-21,5.0,16.2625,11
2014-08-22,7.0,16.325,12
2014-08-23,4.0,15.9875,11
2014-08-24,3.0,16.3125,20
2014-08-25,5.0,14.7875,13
2014-08-26,3.0,17.325,7
2014-08-27,1.0,19.875,9
2014-08-28,0.0,19.75,9
2014-08-29,5.0,19.125,12
2014-08-30,7.0,17.75,9
2014-08-31,7.0,16.375,8
2014-09-01,7.0,17.875,12
2014-09-02,2.0,18.375,13
2014-09-03,2.0,18.75,13
2014-09-04,0.0,20.0,15
2014-09-05,2.0,21.375,10
2014-09-06,2.0,24.0,5
2014-09-07,5.0,20.0,6
2014-09-08,4.0,17.375,12
2014-09-09,6.0,17.125,16
2014-09-10,2.0,18.625,12
2014-09-11,4.0,17.375,13
2014-09-12,1.0,18.25,11
2014-09-13,7.0,17.0,12
2014-09-14,7.0,17.625,14
2014-09-15,2.0,19.75,13
2014-09-16,0.0,20.125,13
2014-09-17,1.0,19.875,18
2014-09-18,0.0,20.5,13
2014-09-19,0.0,20.75,9
2014-09-20,3.0,19.375,7
2014-09-21,4.0,17.0,15
2014-09-22,6.0,13.0,17
2014-09-23,4.0,14.75,6
2014-09-24,7.0,15.375,10
2014-09-25,7.0,14.5,17
2014-09-26,7.0,16.75,13
2014-09-27,2.0,16.375,14
2014-09-28,4.0,18.5,7
2014-09-29,6.0,18.125,6
2014-09-30,7.0,16.5,5
2014-10-01,6.0,17.75,6
2014-10-02,6.0,18.0,6
2014-10-03,3.0,20.0,6
2014-10-04,0.0,18.5,8
2014-10-05,1.0,16.25,7
2014-10-06,2.0,15.75,15
2014-10-07,7.0,13.0,10
2014-10-08,6.0,14.125,10
2014-10-09,5.0,17.875,10
2014-10-10,4.0,16.375,10
2014-10-11,3.0,17.0,5
2014-10-12,5.0,15.125,7
2014-10-13,7.0,12.625,12
2014-10-14,6.0,14.0,5
2014-10-15,7.0,13.875,6
2014-10-16,7.0,13.5,6
2014-10-17,7.0,14.375,10
2014-10-18,7.0,15.25,7
2014-10-19,7.0,17.375,13
2014-10-20,6.0,14.625,18
2014-10-21,7.0,12.5,9
2014-10-22,6.0,13.0,12
2014-10-23,6.0,13.125,7
2014-10-24,7.0,13.5,9
2014-10-25,7.0,12.125,7
2014-10-26,5.0,12.75,9
2014-10-27,2.0,14.5,9
2014-10-28,0.0,13.875,8
2014-10-29,7.0,8.375,7
2014-10-30,2.0,10.625,5
2014-10-31,8.0,12.875,5
2014-11-01,2.0,16.5,8
2014-11-02,3.0,15.375,10
2014-11-03,4.0,13.75,12
2014-11-04,7.0,11.625,8
2014-11-05,7.0,9.5,11
2014-11-06,5.0,8.875,10
2014-11-07,0.0,8.625,9
2014-11-08,6.0,10.25,8
2014-11-09,3.0,10.625,8
2014-11-10,6.0,8.75,7
2014-11-11,2.0,8.625,7
2014-11-12,7.0,9.75,10
2014-11-13,7.0,10.75,4
2014-11-14,7.0,10.75,10
2014-11-15,8.0,9.25,14
2014-11-16,7.0,8.0,14
2014-11-17,7.0,9.625,7
2014-11-18,7.0,8.875,13
2014-11-19,7.0,8.5,11
2014-11-20,5.0,6.125,7
2014-11-21,6.0,6.5,5
2014-11-22,7.0,5.75,9
2014-11-23,6.0,6.75,7
2014-11-24,3.0,9.375,10
2014-11-25,0.0,6.875,4
2014-11-26,3.0,5.625,8
2014-11-27,0.0,4.5,10
2014-11-28,6.0,1.625,16
2014-11-29,8.0,1.0,10
2014-11-30,8.0,0.0,11
2014-12-01,7.0,-2.0,13
2014-12-02,8.0,-3.0,7
2014-12-03,7.0,0.625,10
2014-12-04,8.0,3.75,9
2014-12-05,7.0,2.0,7
2014-12-06,2.0,5.75,7
2014-12-07,7.0,4.875,12
2014-12-08,7.0,3.25,8
2014-12-09,8.0,2.125,9
2014-12-10,5.0,4.875,13
2014-12-11,7.0,4.0,12
2014-12-12,7.0,7.25,18
2014-12-13,5.0,4.75,10
2014-12-14,4.0,3.5,9
2014-12-15,7.0,4.75,11
2014-12-16,8.0,4.625,12
2014-12-17,7.0,3.625,10
2014-12-18,7.0,10.0,11
2014-12-19,5.0,8.125,15
2014-12-20,6.0,5.375,24
2014-12-21,6.0,6.625,14
2014-12-22,7.0,9.75,21
2014-12-23,7.0,9.125,19
2014-12-24,5.0,7.75,21
2014-12-25,7.0,3.125,17
2014-12-26,6.0,0.0,6
2014-12-27,3.0,-0.25,8
2014-12-28,1.0,-0.5,7
2014-12-29,5.0,0.75,10
2014-12-30,7.0,5.25,9
2014-12-31,6.0,7.375,11
2015-01-01,8.0,4.125,13
2015-01-02,6.0,7.75,24
2015-01-03,7.0,4.875,25
2015-01-04,0.0,4.75,15
2015-01-05,8.0,5.875,8
2015-01-06,8.0,3.625,8
2015-01-07,6.0,5.75,10
2015-01-08,8.0,6.375,9
2015-01-09,6.0,7.5,25
2015-01-10,6.0,10.0,28
2015-01-11,5.0,4.25,23
2015-01-12,7.0,7.5,19
2015-01-13,7.0,7.75,14
2015-01-14,6.0,3.125,16
2015-01-15,7.0,6.75,14
2015-01-16,6.0,6.75,13
2015-01-17,1.0,4.25,12
2015-01-18,8.0,2.0,9
2015-01-19,7.0,1.0,5
2015-01-20,7.0,-0.375,4
2015-01-21,8.0,-1.125,4
2015-01-22,7.0,-1.375,3
2015-01-23,8.0,-1.25,5
2015-01-24,7.0,-0.5,10
2015-01-25,6.0,2.875,6
2015-01-26,7.0,3.375,10
2015-01-27,2.0,4.875,13
2015-01-28,7.0,4.875,17
2015-01-29,7.0,1.5,12
2015-01-30,7.0,1.125,6
2015-01-31,7.0,-2.375,7
2015-02-01,7.0,-0.25,9
2015-02-02,6.0,1.0,10
2015-02-03,7.0,-1.0,10
2015-02-04,6.0,-1.875,9
2015-02-05,5.0,0.75,10
2015-02-06,2.0,-0.5,6
2015-02-07,7.0,4.125,18
2015-02-08,1.0,3.375,14
2015-02-09,7.0,6.875,13
2015-02-10,7.0,7.625,11
2015-02-11,8.0,4.0,5
2015-02-12,8.0,2.0,4
2015-02-13,8.0,1.25,6
2015-02-14,7.0,1.625,9
2015-02-15,7.0,3.125,16
2015-02-16,8.0,2.0,9
2015-02-17,6.0,1.125,7
2015-02-18,3.0,5.5,12
2015-02-19,0.0,6.25,13
2015-02-20,8.0,3.875,11
2015-02-21,7.0,3.875,16
2015-02-22,5.0,5.25,13
2015-02-23,7.0,4.5,12
2015-02-24,7.0,5.625,12
2015-02-25,5.0,5.875,10
2015-02-26,5.0,6.625,10
2015-02-27,7.0,4.5,9
2015-02-28,3.0,5.625,10
2015-03-01,7.0,6.75,15
2015-03-02,6.0,5.125,23
2015-03-03,6.0,5.0,14
2015-03-04,6.0,5.0,18
2015-03-05,7.0,6.625,14
2015-03-06,7.0,8.125,12
2015-03-07,7.0,10.125,13
2015-03-08,0.0,14.0,12
2015-03-09,4.0,8.375,6
2015-03-10,3.0,9.5,13
2015-03-11,0.0,9.125,12
2015-03-12,0.0,7.125,10
2015-03-13,6.0,4.875,15
2015-03-14,7.0,5.125,15
2015-03-15,7.0,5.75,13
2015-03-16,2.0,8.625,13
2015-03-17,1.0,10.75,11
2015-03-18,4.0,10.625,8
2015-03-19,0.0,10.375,9
2015-03-20,7.0,5.0,9
2015-03-21,7.0,4.5,21
2015-03-22,0.0,4.375,8
2015-03-23,0.0,7.75,12
2015-03-24,6.0,7.875,6
2015-03-25,6.0,7.875,14
2015-03-26,7.0,7.125,9
2015-03-27,7.0,7.0,7
2015-03-28,7.0,8.5,10
2015-03-29,7.0,8.25,12
2015-03-30,6.0,6.5,29
2015-03-31,7.0,6.375,35
2015-04-01,4.0,5.0,24
2015-04-02,6.0,6.5,19
2015-04-03,5.0,7.375,14
2015-04-04,0.0,8.375,11
2015-04-05,3.0,8.625,11
2015-04-06,0.0,7.75,10
2015-04-07,7.0,7.75,14
2015-04-08,2.0,12.0,11
2015-04-09,2.0,11.875,7
2015-04-10,1.0,14.125,8
2015-04-11,2.0,16.75,14
2015-04-12,5.0,12.375,16
2015-04-13,4.0,8.875,21
2015-04-14,7.0,10.75,17
2015-04-15,0.0,15.5,19
2015-04-16,6.0,9.375,16
2015-04-17,0.0,10.5,15
2015-04-18,0.0,10.875,8
2015-04-19,0.0,10.125,11
2015-04-20,0.0,14.25,9
2015-04-21,0.0,14.625,17
2015-04-22,0.0,12.125,7
2015-04-23,1.0,13.625,12
2015-04-24,2.0,13.875,9
2015-04-25,7.0,13.75,8
2015-04-26,8.0,7.0,11
2015-04-27,4.0,10.125,11
2015-04-28,3.0,10.25,13
2015-04-29,5.0,12.625,12
2015-04-30,6.0,11.375,10
2015-05-01,6.0,10.0,6
2015-05-02,3.0,11.0,12
2015-05-03,1.0,14.75,12
2015-05-04,5.0,15.875,13
2015-05-05,4.0,20.0,15
2015-05-06,3.0,17.125,11
2015-05-07,6.0,12.0,16
2015-05-08,2.0,11.5,11
2015-05-09,7.0,13.5,14
2015-05-10,2.0,12.75,18
2015-05-11,0.0,19.75,11
2015-05-12,7.0,14.625,14
2015-05-13,7.0,11.875,16
2015-05-14,7.0,11.25,10
2015-05-15,6.0,13.5,9
2015-05-16,7.0,10.5,11
2015-05-17,3.0,12.625,17
2015-05-18,6.0,11.625,8
2015-05-19,6.0,10.125,11
2015-05-20,5.0,12.25,9
2015-05-21,6.0,12.625,10
2015-05-22,4.0,17.0,12
2015-05-23,5.0,13.375,8
2015-05-24,2.0,14.375,8
2015-05-25,7.0,11.75,10
2015-05-26,6.0,13.0,14
2015-05-27,7.0,12.625,13
2015-05-28,6.0,13.125,12
2015-05-29,6.0,14.625,8
2015-05-30,4.0,11.625,15
2015-05-31,7.0,14.5,10
2015-06-01,5.0,14.25,16
2015-06-02,7.0,14.25,14
2015-06-03,6.0,15.25,18
2015-06-04,0.0,16.375,9
2015-06-05,0.0,22.625,9
2015-06-06,3.0,18.5,19
2015-06-07,4.0,16.625,15
2015-06-08,6.0,14.375,12
2015-06-09,3.0,15.25,8
2015-06-10,0.0,18.0,7
2015-06-11,1.0,16.0,10
2015-06-12,0.0,20.25,10
2015-06-13,6.0,21.875,12
2015-06-14,7.0,14.375,12
2015-06-15,8.0,13.625,11
2015-06-16,7.0,13.625,14
2015-06-17,7.0,16.5,9
2015-06-18,7.0,13.25,13
2015-06-19,7.0,14.25,14
2015-06-20,5.0,17.125,13
2015-06-21,6.0,15.75,6
2015-06-22,5.0,13.5,8
2015-06-23,5.0,16.5,10
2015-06-24,8.0,12.625,14
2015-06-25,6.0,17.125,8
2015-06-26,7.0,19.25,5
2015-06-27,7.0,19.375,16
2015-06-28,2.0,19.875,10
2015-06-29,3.0,21.5,12
2015-06-30,3.0,20.25,9
2015-07-01,0.0,23.125,13
2015-07-02,0.0,27.375,12
2015-07-03,1.0,25.625,10
2015-07-04,0.0,26.5,10
2015-07-05,4.0,25.25,9
2015-07-06,3.0,19.875,16
2015-07-07,4.0,24.75,9
2015-07-08,6.0,16.625,16
2015-07-09,6.0,14.375,24
2015-07-10,3.0,16.125,18
2015-07-11,6.0,17.75,9
2015-07-12,7.0,19.25,12
